Attribute,Description,Valid Values,DependsOn,Properties,Required,Parent,DependsOn Component,Source,Validation Rules,columnType,module
platform,"The specific version (manufacturer, model, etc.) of a technology that is used to carry out a laboratory or computational experiment.","Affy5.0, Affy6.0, Affymetrix Human Gene 1.0 ST Array, AffymetrixU133AB, AffymetrixU133Plus2, Agilent44Karray, BGISEQ-500, Biocrates p180, Biograph mCT, Bionano Irys, Bruker Avance III, confocalImaging, CosMx Spatial Molecular Imager, ddSEQ Single-Cell Isolator, DNBSEQ, ELISA plate reader, GAIIx, HiSeq1000, HiSeq2000, HiSeq2500, HiSeq3000, HiSeq4000, HiSeqX, Illumina_1M, Illumina_h650, Illumina_HumanOmni1-Quadv1.0, llumina Infinium General Screening Array 24-Kit v3.0, Illumina MouseWG-6 v2.0 expression beadchip, Illumina_Omni2.5-8, Illumina_Omni2.5-8_v1.1, Illumina_Omni2.5-8_v1.3, Illumina_Omni2pt5M, Illumina_Omni5M, Illumina_Omni5-Quad, IlluminaHumanHap300, IlluminaHumanHap650Yv3_A, IlluminaHumanHT-12_V3_0_R1, IlluminaHumanMethylation450, IlluminaMethylationEPIC, IlluminaInfiniumGSAMD-24v2-0, Illumina_Infinium-HumanMethylation450-BeadChip, IlluminaMiSeq, Illumina NovaSeq 6000, IlluminaNovaseq6000,IlluminaNovaSeqXPlus,IlluminaNovaSeqX, IlluminaWholeGenomeDASL, Infinium Global Diversity Array-8, Infinium HumanOmniExpressExome, Infinium Omni2.5Exome-8 v1.1, Infinium Omni2.5Exome-8 v1.3, Infinium Omni2.5Exome-8 v1.4, Infinium Omni2.5Exome-8 v1.5, InfiniumPsychArrayBeadChip, LC-MS Q-TOF, LCMS triple quad, Leco Pegasus IV, LTQOrbitrapXL, Luminex FLEXMAP 3D, Luminex MAGPIX, MiSeq, MSD QuickPlex SQ 120, MSD SECTOR S 600, NanostringnCounter, NanostringnCounter_MouseADPanel, NextSeq500, NextSeq2000, NULISAseq CNS Disease Panel 120, NULISAseq Mouse Panel 120, Olink Target 96, orbitrap, Orbitrap Astral, Orbitrap Exploris 240, OrbiTrap Fusion, Orbitrap Fusion Lumos, PacBioRSII, PacBio Sequel II, PacBio Sequel IIe, Perlegen300Karray, PsychChip, Q Exactive, Q Exactive HF, Q Exactive HF-X, Q Exactive Plus, quadrupole time-of-flight, Quanterix HD-X, Quanterix SP-X, Roche Cobas, SequenomMultiplex, Signa Premier AIR 3T, Simoa HD-1 Analyzer, time-of-flight, timsTOF Pro, triple quadrupole, Visium HD, Visium Spatial Gene Expression V1, Xenium, Xevo G2 QTOF, Xevo TQ-S",,,True,ManifestColumn,,sage.annotations-experimentalData.platform-0.0.26,,string,experimentalData
Affy5.0,Affymetrix Genome-Wide Human SNP 5.0 Array,,,,,platform,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GPL6804,,string,experimentalData
ELISA plate reader,"A microplate absorbance or fluorescence reader used to detect and quantify ELISA signal, typically measuring optical density at a defined wavelength across 96- or 384-well plate formats.",,,,,platform,,http://purl.obolibrary.org/obo/OBI_0001059,,string,experimentalData
LC-MS Q-TOF,"A liquid chromatography mass spectrometry system equipped with a quadrupole time-of-flight (Q-TOF) mass analyzer, used for high-resolution, accurate-mass detection of peptides, proteins, or small molecules. Preferred for untargeted or discovery workflows where unknown compound identification is required.",,,,,platform,,https://www.agilent.com/en/product/liquid-chromatography-mass-spectrometry-lc-ms/lc-ms-instruments/quadrupole-time-of-flight-lc-ms,,string,experimentalData
LCMS triple quad,"A liquid chromatography mass spectrometry system equipped with a triple quadrupole (QqQ) mass analyzer, used for targeted quantification of specific analytes via selected reaction monitoring (SRM) or multiple reaction monitoring (MRM). Preferred for large-panel targeted quantification requiring high sensitivity and wide dynamic range.",,,,,platform,,https://ontobee.org/ontology/MS?iri=http://purl.obolibrary.org/obo/MS_1003762,,string,experimentalData
Luminex FLEXMAP 3D,"The Luminex FLEXMAP 3D instrument; a flow-based, high-throughput bead-based multiplex immunoassay reader compatible with both 96- and 384-well plates, capable of measuring up to 500 analytes per well using xMAP technology with three laser excitation.",,,,,platform,,https://us.diasorin.com/en/luminex/products-and-services/tools/flexmap-system,,string,experimentalData
Luminex MAGPIX,"The Luminex MAGPIX instrument; a compact, imaging-based bead-based multiplex immunoassay reader using magnetic bead capture and LED/CCD-based detection, supporting up to 50 analytes per well in a 96-well plate format.",,,,,platform,,https://us.diasorin.com/en/luminex/products-and-services/tools/magpix-system,,string,experimentalData
MSD QuickPlex SQ 120,"The Meso Scale Discovery (MSD) MESO QuickPlex SQ 120 instrument; a compact electrochemiluminescence (ECL)-based immunoassay reader using proprietary MULTI-ARRAY plate technology, supporting up to 10 analytes per well with limits of detection as low as 0.05 to 1 pg/mL.",,,,,platform,,https://www.mesoscale.com/en/products_and_services/instrument_previous_models/quickplex_sq_120,,string,experimentalData
MSD SECTOR S 600,"The Meso Scale Discovery (MSD) MESO SECTOR S 600 instrument; a high-throughput ECL-based immunoassay reader supporting up to 50 plates per hour, compatible with 96- and 384-well formats, with sensitivity as low as 0.05 pg/mL and multiplex capability of up to 10 analytes per well.",,,,,platform,,https://www.mesoscale.com/en/products_and_services/instrumentation/sector_s_600mm,,string,experimentalData
NULISAseq CNS Disease Panel 120,A proximity ligation-based immunoassay platform developed by Alamar Biosciences for simultaneous measurement of 120 CNS disease-relevant protein biomarkers from low-volume samples,,,,,platform,,https://alamarbio.com/products-and-services/nulisaseq-cns-disease-panel/,,string,experimentalData
